No,Country or Area,ISO-alpha3 Code,M49 Code,Continent,Region 1,Region 2
40,Côte d’Ivoire,CIV,384,Africa,Western Africa,Sub-Saharan Africa
41,Croatia,HRV,191,Europe,Southern Europe,
42,Cuba,CUB,192,North America,Caribbean,Latin America and the Caribbean
43,Cyprus,CYP,196,Europe,,
44,Czechia,CZE,203,Europe,Eastern Europe,
45,Democratic Republic of the Congo,COD,180,Africa,Middle Africa,Sub-Saharan Africa
46,Denmark,DNK,208,Europe,Northern Europe,
47,Djibouti,DJI,262,Africa,Eastern Africa,Sub-Saharan Africa
48,Dominican Republic,DOM,214,North America,Caribbean,Latin America and the Caribbean
49,Ecuador,ECU,218,South America,South America,Latin America and the Caribbean
50,Egypt,EGY,818,Africa,Northern Africa,
51,El Salvador,SLV,222,North America,Central America,Latin America and the Caribbean
52,Equatorial Guinea,GNQ,226,Africa,Middle Africa,Sub-Saharan Africa
53,Eritrea,ERI,232,Africa,Eastern Africa,Sub-Saharan Africa
54,Estonia,EST,233,Europe,Northern Europe,
55,Eswatini Swaziland,SWZ,748,Africa,Southern Africa,Sub-Saharan Africa
56,Ethiopia,ETH,231,Africa,Eastern Africa,Sub-Saharan Africa
